# source: U.S. Census Bureau Schedule D (distcode.html), fetched 2026-09-07
# https://www.census.gov/foreign-trade/schedules/d/distcode.html
# Every port-of-entry entry in the published list (district header rows excluded).
regime,kind,code,name,state_province,country,parent_code
ACE,port_of_entry,3417,FORTUNA,ND,US,
ACE,port_of_entry,3419,WESTHOPE,ND,US,
ACE,port_of_entry,3420,NOONAN,ND,US,
ACE,port_of_entry,3421,CARBURY,ND,US,
ACE,port_of_entry,3422,DUNSEITH,ND,US,
ACE,port_of_entry,3423,WARROAD,MN,US,
ACE,port_of_entry,3424,BAUDETTE,MN,US,
ACE,port_of_entry,3425,PINECREEK,MN,US,
ACE,port_of_entry,3426,ROSEAU,MN,US,
ACE,port_of_entry,3427,GRAND FORKS,ND,US,
ACE,port_of_entry,3430,LANCASTER,MN,US,
ACE,port_of_entry,3433,WILLISTON AIRPORT,ND,US,
ACE,port_of_entry,3434,MINOT AIRPORT,ND,US,
ACE,port_of_entry,3501,MINNEAPOLIS-ST. PAUL,MN,US,
ACE,port_of_entry,3502,"SIOUX FALLS, S.D.",,US,
ACE,port_of_entry,3510,"DULUTH, MN-SUPERIOR",WI,US,
ACE,port_of_entry,3511,ASHLAND,WI,US,
ACE,port_of_entry,3512,OMAHA,NE,US,
ACE,port_of_entry,3513,DES MOINES,IA,US,
ACE,port_of_entry,3581,"ROCHESTER USER FEE AIRP, ROCHESTER",MN,US,
ACE,port_of_entry,3604,INTERNATIONAL FALLS-RANIER,MN,US,
ACE,port_of_entry,3613,GRAND PORTAGE,MN,US,
ACE,port_of_entry,3701,MILWAUKEE,WI,US,
ACE,port_of_entry,3702,MARINETTE,WI,US,
ACE,port_of_entry,3703,GREEN BAY,WI,US,
ACE,port_of_entry,3706,MANITOWOC,WI,US,
ACE,port_of_entry,3708,RACINE,WI,US,
ACE,port_of_entry,3801,DETROIT,MI,US,
ACE,port_of_entry,3802,PORT HURON,MI,US,
ACE,port_of_entry,3803,SAULT STE. MARIE,MI,US,
ACE,port_of_entry,3804,SAGINAW/BAY CITY,MI,US,
ACE,port_of_entry,3805,BATTLE CREEK,MI,US,
ACE,port_of_entry,3806,GRAND RAPIDS,MI,US,
ACE,port_of_entry,3807,"DETROIT METRO AIRPORT, DETROIT",MI,US,
ACE,port_of_entry,3808,ESCANABA,MI,US,
ACE,port_of_entry,3809,MARQUETTE,MI,US,
ACE,port_of_entry,3814,ALGONAC,MI,US,
ACE,port_of_entry,3815,MUSKEGON,MI,US,
